Postcode,Population
BS2  8,6052
BS2  9,6839
BS20 0,4909
BS20 6,8099
BS20 7,11553
BS20 8,5944
BS21 5,4942
BS21 6,9076
BS21 7,9655
BS22 6,8113
BS22 7,10513
BS22 8,10777
BS22 9,8668
BS23 1,5022
BS23 2,9349
BS23 3,12419
BS23 4,7775
BS24 0,2072
BS24 6,365
BS24 7,8445
BS24 8,2202
BS24 9,6070
BS25 1,4693
BS25 5,1643
BS26 2,5212
BS27 3,7199
BS28 4,3372
BS29 6,2967
BS3  1,9040
BS3  2,6167
BS3  3,6259
BS3  4,7767
BS3  5,8143
BS30 5,5124
BS30 6,3566
BS30 7,3726
BS30 8,10468
BS30 9,7982
BS31 1,7571
BS31 2,8623
BS31 3,4140
BS32 0,7496
BS32 4,4452
BS32 8,8494
BS32 9,4729
BS34 5,8258
BS34 6,6400
BS34 7,7175
BS34 8,8455
BS35 1,6719
BS35 2,6544
BS35 3,3109
BS35 4,4969
BS35 5,659
BS36 1,6347
BS36 2,9355
BS37 4,8237
BS37 5,7852
BS37 6,8160
BS37 7,7069
BS37 8,6560
BS37 9,819
BS39 4,2635
BS39 5,4638
BS39 6,3054
BS39 7,5390
BS4  1,13180
BS4  2,10115
BS4  3,9004
BS4  4,12590
BS4  5,3874
BS40 5,4571
BS40 6,2285
BS40 7,1595
BS40 8,3896
BS40 9,646
BS41 8,841
BS41 9,5341
BS48 1,5630
BS48 2,6962
BS48 3,5630
BS48 4,5577
BS49 4,8595
BS49 5,3554
BS5  0,8890
BS5  6,13402
BS5  7,11102
BS5  8,9748
BS5  9,10079
BS6  5,10908
BS6  6,13162
BS6  7,10177
BS7  0,15670
BS7  8,10429
BS7  9,15522
BS8  1,4950
BS8  2,7369
BS8  3,5280
BS8  4,8939
BS9  1,8522
BS9  2,6711
BS9  3,8683
BS9  4,7556
CA1  1,2254
CA1  2,11291
CA1  3,11122
CA10 1,5853
CA10 2,3340
CA10 3,4655
CA11 0,4489
CA11 7,3620
CA11 8,8039
CA11 9,6583
CA12 4,4836
CA12 5,3322
CA13 0,8741
CA13 9,6516
CA14 1,8575
CA14 2,5134
CA14 3,8642
CA14 4,6626
CA14 5,7419
CA15 6,4544
CA15 7,6885
CA15 8,5061
CA16 6,6278
CA17 4,4954
CA18 1,331
CA19 1,1086
CA2  4,10498
CA2  5,7705
CA2  6,9388
CA2  7,12506
CA20 1,3410
CA21 2,1032
CA22 2,9036
CA23 3,1447
CA24 3,1287
CA25 5,6286
CA26 3,3931
CA27 0,1671
CA28 6,10054
CA28 7,2843
CA28 8,8959
CA28 9,7214
CA3  0,6168
CA3  8,334
CA3  9,7745
CA4  0,3251
CA4  8,5724
CA4  9,862
CA5  6,3878
CA5  7,3353
CA6  4,4266
CA6  5,3390
CA6  6,1585
CA7  0,1737
CA7  1,1472
CA7  2,2735
CA7  3,2989
CA7  4,4155
CA7  5,1963
CA7  8,1923
CA7  9,5928
CA8  1,4823
CA8  2,1942
CA8  7,1455
CA8  9,2262
CA9  3,2121
CB1  1,3703
CB1  2,7730
CB1  3,18808
CB1  7,4468
CB1  8,5750
CB1  9,9601
CB10 1,4687
CB10 2,9036
CB11 3,9797
CB11 4,8553
CB2  0,1191
CB2  1,7685
CB2  3,2319
CB2  7,501
CB2  8,3938
CB2  9,3204
CB21 4,8647
CB21 5,5649
CB21 6,1589
CB22 3,7895
CB22 4,4383
CB22 5,7744
CB22 6,1250
CB22 7,3151
CB23 1,2699
CB23 2,1994
CB23 3,3509
CB23 4,1099
CB23 5,2376
CB23 6,5947
CB23 7,8652
CB23 8,5124
CB24 3,4253
