"ID","Short Postcode","Population"
"E01018944","PL30 5",4408
"E01019037","PL30 5",4408
"E01019036","PL30 5",4408
"E01018931","PL30 5",4408
"E01018945","PL30 5",4408
"E01019052","PL30 5",4408
"E01018924","PL30 5",4408
"E01018933","PL31 1",8245
"E01018935","PL31 1",8245
"E01018934","PL31 1",8245
"E01018930","PL31 1",8245
"E01018927","PL31 1",8245
"E01018928","PL31 1",8245
"E01018931","PL31 1",8245
"E01018929","PL31 1",8245
"E01018933","PL31 2",6573
"E01018934","PL31 2",6573
"E01018932","PL31 2",6573
"E01018927","PL31 2",6573
"E01018929","PL31 2",6573
"E01018928","PL31 2",6573
"E01018935","PL31 2",6573
"E01033292","PL32 9",4350
"E01033291","PL32 9",4350
"E01018968","PL32 9",4350
"E01018969","PL32 9",4350
"E01018941","PL33 9",1656
"E01018940","PL33 9",1656
"E01033291","PL33 9",1656
"E01018942","PL34 0",1792
"E01018941","PL34 0",1792
"E01018969","PL35 0",945
"E01018824","TR1  1",8721
"E01018853","TR1  1",8721
"E01018854","TR1  1",8721
"E01018823","TR1  1",8721
"E01018809","TR1  1",8721
"E01018846","TR1  1",8721
"E01018809","TR1  2",3255
"E01018807","TR1  2",3255
"E01018808","TR1  2",3255
"E01018810","TR1  2",3255
"E01018809","TR1  3",8672
"E01018855","TR1  3",8672
"E01018810","TR1  3",8672
"E01018858","TR1  3",8672
"E01018857","TR1  3",8672
"E01018856","TR1  3",8672
"E01018837","TR10 8",7132
"E01018836","TR10 8",7132
"E01018835","TR10 8",7132
"E01018834","TR10 8",7132
"E01018900","TR10 8",7132
"E01018901","TR10 9",4188
"E01018899","TR10 9",4188
"E01018900","TR10 9",4188
"E01018837","TR10 9",4188
"E01018880","TR10 9",4188
"E01018834","TR10 9",4188
"E01018921","TR10 9",4188
"E01018922","TR10 9",4188
"E01018839","TR11 2",8372
"E01018859","TR11 2",8372
"E01018840","TR11 2",8372
"E01018838","TR11 2",8372
"E01018860","TR11 2",8372
"E01018841","TR11 2",8372
"E01018806","TR11 2",8372
"E01018804","TR11 3",4734
"E01018839","TR11 3",4734
"E01018840","TR11 3",4734
"E01018806","TR11 3",4734
"E01018805","TR11 3",4734
"E01018803","TR11 3",4734
"E01018814","TR11 4",6821
"E01018812","TR11 4",6821
"E01018803","TR11 4",6821
"E01018805","TR11 4",6821
"E01018811","TR11 4",6821
"E01018900","TR11 4",6821
"E01018859","TR11 4",6821
"E01018806","TR11 4",6821
"E01018813","TR11 4",6821
"E01018880","TR11 5",9059
"E01018812","TR11 5",9059
"E01018813","TR11 5",9059
"E01018900","TR11 5",9059
"E01018811","TR11 5",9059
"E01018879","TR11 5",9059
"E01018827","TR11 5",9059
"E01018828","TR11 5",9059
"E01018899","TR11 5",9059
"E01018902","TR12 6",4151
"E01018903","TR12 6",4151
"E01018920","TR12 6",4151
"E01018880","TR12 6",4151
"E01018880","TR12 7",5486
"E01018881","TR12 7",5486
"E01018904","TR12 7",5486
"E01018903","TR12 7",5486
"E01018905","TR13 0",4304
"E01018863","TR13 0",4304
"E01018864","TR13 0",4304
"E01018883","TR13 0",4304
"E01018882","TR13 0",4304
"E01018922","TR13 0",4304
"E01018884","TR13 0",4304
"E01018880","TR13 0",4304
"E01018886","TR13 0",4304
"E01018887","TR13 0",4304
"E01018887","TR13 8",10146
"E01018888","TR13 8",10146
"E01018886","TR13 8",10146
"E01018885","TR13 8",10146
"E01018884","TR13 8",10146
"E01018883","TR13 8",10146
"E01018882","TR13 8",10146
"E01018907","TR13 9",5483
"E01018906","TR13 9",5483
"E01018905","TR13 9",5483
"E01018861","TR13 9",5483
"E01018864","TR13 9",5483
"E01018862","TR13 9",5483
"E01018874","TR14 0",4699
"E01018865","TR14 0",4699
"E01018876","TR14 0",4699
"E01018866","TR14 0",4699
"E01018980","TR14 0",4699
"E01018891","TR14 0",4699
"E01018863","TR14 0",4699
"E01018868","TR14 0",4699
